,age,ethnicity,gender,path
0,1,Asian,Male,images\img0.jpg
1,1,Asian,Male,images\img1.jpg
2,1,Asian,Male,images\img2.jpg
3,1,Asian,Male,images\img3.jpg
4,1,Asian,Male,images\img4.jpg
5,1,Asian,Male,images\img5.jpg
6,1,Asian,Male,images\img6.jpg
7,1,Asian,Male,images\img7.jpg
8,1,Asian,Male,images\img8.jpg
9,1,Asian,Male,images\img9.jpg
10,1,Asian,Male,images\img10.jpg
11,1,Asian,Male,images\img11.jpg
12,1,Asian,Male,images\img12.jpg
13,1,Asian,Male,images\img13.jpg
14,1,Asian,Male,images\img14.jpg
15,1,Asian,Male,images\img15.jpg
16,1,Asian,Male,images\img16.jpg
17,1,Asian,Male,images\img17.jpg
18,1,Asian,Male,images\img18.jpg
19,1,Asian,Male,images\img19.jpg
20,1,Asian,Male,images\img20.jpg
21,1,Asian,Male,images\img21.jpg
22,1,Asian,Male,images\img22.jpg
23,1,Asian,Male,images\img23.jpg
24,1,Asian,Male,images\img24.jpg
25,1,Asian,Male,images\img25.jpg
26,1,Asian,Male,images\img26.jpg
27,1,Asian,Male,images\img27.jpg
28,1,Asian,Male,images\img28.jpg
29,1,Asian,Male,images\img29.jpg
30,1,Asian,Male,images\img30.jpg
31,1,Asian,Male,images\img31.jpg
32,1,Asian,Male,images\img32.jpg
33,1,Asian,Male,images\img33.jpg
34,1,Asian,Male,images\img34.jpg
35,1,Asian,Male,images\img35.jpg
36,1,Asian,Male,images\img36.jpg
37,1,Asian,Male,images\img37.jpg
38,1,Asian,Male,images\img38.jpg
39,1,Asian,Male,images\img39.jpg
40,1,Indian,Male,images\img40.jpg
41,1,Indian,Male,images\img41.jpg
42,1,Indian,Male,images\img42.jpg
43,1,Indian,Male,images\img43.jpg
44,1,Indian,Male,images\img44.jpg
45,1,Indian,Male,images\img45.jpg
46,1,Indian,Male,images\img46.jpg
47,1,Indian,Male,images\img47.jpg
48,1,Indian,Male,images\img48.jpg
49,1,Indian,Male,images\img49.jpg
50,1,Indian,Male,images\img50.jpg
51,1,Indian,Male,images\img51.jpg
52,1,Indian,Male,images\img52.jpg
53,1,Indian,Male,images\img53.jpg
54,1,Indian,Male,images\img54.jpg
55,1,Indian,Male,images\img55.jpg
56,1,Indian,Male,images\img56.jpg
57,1,Indian,Male,images\img57.jpg
58,1,Indian,Male,images\img58.jpg
59,1,Indian,Male,images\img59.jpg
60,1,Indian,Male,images\img60.jpg
61,1,Indian,Male,images\img61.jpg
62,1,Indian,Male,images\img62.jpg
63,1,Indian,Male,images\img63.jpg
64,1,Indian,Male,images\img64.jpg
65,1,Indian,Male,images\img65.jpg
66,1,Indian,Male,images\img66.jpg
67,1,Indian,Male,images\img67.jpg
68,1,Indian,Male,images\img68.jpg
69,1,Indian,Male,images\img69.jpg
70,1,Indian,Male,images\img70.jpg
71,1,Indian,Male,images\img71.jpg
72,1,Indian,Male,images\img72.jpg
73,1,Indian,Male,images\img73.jpg
74,1,Indian,Male,images\img74.jpg
75,1,Indian,Male,images\img75.jpg
76,1,Indian,Male,images\img76.jpg
77,1,Indian,Male,images\img77.jpg
78,1,Indian,Male,images\img78.jpg
79,1,Asian,Male,images\img79.jpg
80,1,Asian,Male,images\img80.jpg
81,1,Asian,Male,images\img81.jpg
82,1,Asian,Male,images\img82.jpg
83,1,Asian,Male,images\img83.jpg
84,1,Asian,Male,images\img84.jpg
85,1,Asian,Male,images\img85.jpg
86,1,Asian,Male,images\img86.jpg
87,1,Asian,Male,images\img87.jpg
88,1,Asian,Male,images\img88.jpg
89,1,Asian,Male,images\img89.jpg
90,1,Asian,Male,images\img90.jpg
91,1,Asian,Male,images\img91.jpg
92,1,Asian,Male,images\img92.jpg
93,1,Asian,Male,images\img93.jpg
94,1,Asian,Male,images\img94.jpg
95,1,Asian,Male,images\img95.jpg
96,1,Asian,Male,images\img96.jpg
97,1,Asian,Male,images\img97.jpg
98,1,Asian,Male,images\img98.jpg
99,1,Asian,Male,images\img99.jpg
100,1,Asian,Male,images\img100.jpg
101,1,Asian,Male,images\img101.jpg
102,1,Asian,Male,images\img102.jpg
103,1,Asian,Male,images\img103.jpg
104,1,Asian,Male,images\img104.jpg
105,1,Asian,Male,images\img105.jpg
106,1,Asian,Male,images\img106.jpg
107,1,Asian,Male,images\img107.jpg
108,1,Asian,Male,images\img108.jpg
109,1,Asian,Male,images\img109.jpg
110,1,Asian,Male,images\img110.jpg
